Unique Ref ID,Type,Category,Sector,Risk Title,Activity Name,ISIC Code,Hazard/Driver,TCFD Theme,Time Horizon,Impact Type,Impact on Business Model,Geography,Activity Linkage,Likelihood,Severity,Financial Impact,Source,Last Updated,Has Mitigation Measures
7c245319-e4d9-4c56-bfd6-8453cfe09226,Opportunity,Transition,Power and Utilities,Market pressure to adopt sustainable practices can create opportunities in recycling services.,Decommissioning & recycling,3900,Market pressure to adopt sustainable business practices,Market,Medium term (3-10 yrs),Market,Increased demand for sustainable recycling services can enhance market position.,,Decommissioning & recycling,High,Medium,Potential revenue growth from new sustainable service offerings.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
bb6889d1-9c70-4857-82da-873ed1bb69aa,Opportunity,Transition,Power and Utilities,Efficiency through automation and technology can optimize grid maintenance operations.,Grid maintenance,3314,Efficiency through automation and technology,Technology,Medium term (3-10 yrs),Operations,Automation can reduce labor costs and improve maintenance efficiency.,,Grid maintenance,High,Medium,Cost savings from reduced labor and increased operational efficiency.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
b9ef3ba4-fbff-4e4e-8249-356aa8656d1b,Risk,Physical,Power and Utilities,"Storms and winds can cause damage to grid infrastructure, impacting maintenance activities.",Grid maintenance,3314,Storms & Winds,Acute,Short term (0-3 yrs),Operations,Increased repair and maintenance activities due to storm damage.,,Grid maintenance,Very High,High,Higher costs associated with emergency repairs and resource allocation.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
8fed692c-8d61-44a0-8049-14302f7dcaf8,Risk,Transition,Power and Utilities,Disruptive regulatory developments can impact waste management practices.,Decommissioning & recycling,3900,Disruptive regulatory & policy developments,Policy & Legal,Medium term (3-10 yrs),Financial,Regulatory changes can lead to increased compliance costs and operational adjustments.,,Decommissioning & recycling,Medium,Medium,Potential increase in operational costs due to compliance requirements.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
d703c24c-e926-4483-8ca4-9cf2c76fd110,Opportunity,Transition,Power and Utilities,Increased demand for zero carbon fuels can drive innovation in grid maintenance technologies.,Grid maintenance,3314,Increased demand for zero carbon fuels,Market,Long term (10+ yrs),Strategic,Innovation in maintenance technologies can enhance sustainability and efficiency.,,Grid maintenance,Medium,Low,Potential cost savings and revenue growth from sustainable technologies.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
a564de11-a0d5-49b3-8c33-15a6c775dd6e,Risk,Transition,Power and Utilities,Macro-economic volatility can affect the cost and availability of recycling resources.,Decommissioning & recycling,3900,Macro-economic volatility,Market,Short term (0-3 yrs),Financial,Volatility can lead to fluctuations in resource costs and availability.,,Decommissioning & recycling,Medium,Medium,Potential increase in operational costs due to market fluctuations.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
e12cca30-2d56-4571-b88c-70565597730a,Risk,Physical,Power and Utilities,Extreme Rain & Flood impacting waste management plans,Decommissioning & recycling,3900,Extreme Rain & Flood,Acute,Short term (0-3 yrs),Operations,Disruption in waste management operations due to flooding,,Decommissioning & recycling,High,High,Increased costs for flood damage repairs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
7d879f0e-d337-443d-9a01-3aa3a33000c5,Risk,Transition,Power and Utilities,Policy uncertainty impacting copper recovery tech,Decommissioning & recycling,3830,Policy uncertainty,Policy & Legal,Medium term (3-10 yrs),Strategic,Uncertainty in regulatory environment affecting investment decisions,,Decommissioning & recycling,Medium,Medium,Potential increase in compliance costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
14f199ce-609f-4c82-a19b-edbfa587ebdd,Risk,Physical,Power and Utilities,Extreme Heat impacting transformers,Electricity distribution,3513,Extreme Heat,Acute,Short term (0-3 yrs),Operations,Increased risk of transformer failure during heatwaves,,Electricity distribution,High,High,Higher maintenance and replacement costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
9f31424b-f118-447b-9588-f61ad5e85fa0,Risk,Transition,Power and Utilities,Government National Energy Policy to increase renewables impacting electricity distribution,Electricity distribution,3513,Government National Energy Policy to increase renewables energy to XX% in 20XX,Policy & Legal,Long term (10+ yrs),Strategic,Shift towards renewable energy sources affecting grid infrastructure,,Electricity distribution,Very High,Critical,Investment required for grid modernization,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
120fc949-7469-48ee-ae8a-5cd8086a9704,Risk,Transition,Power and Utilities,Disruptive regulatory & policy developments impacting hazardous material handlers,Decommissioning & recycling,3900,Disruptive regulatory & policy developments,Policy & Legal,Medium term (3-10 yrs),Operations,Changes in regulations affecting hazardous material handling processes,,Decommissioning & recycling,Medium,Medium,Increased compliance and operational costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
ead7c64c-f788-4a0e-8410-966fdb281a93,Risk,Physical,Power and Utilities,Storms & Winds impacting transformers,Electricity distribution,3513,Storms & Winds,Acute,Short term (0-3 yrs),Operations,Increased risk of power outages due to storm damage,,Electricity distribution,High,High,Higher repair and maintenance costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
209d298a-c2f5-4553-a34d-4b518fc04aa9,Opportunity,Transition,Power and Utilities,Efficiency through automation and technology impacting copper recovery tech,Decommissioning & recycling,3830,Efficiency through automation and technology,Technology,Medium term (3-10 yrs),Financial,Improved efficiency in copper recovery processes,,Decommissioning & recycling,High,Medium,Cost savings and increased profitability,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
1b03a13f-8b66-4df7-8e40-7727a3e43d8b,Opportunity,Transition,Power and Utilities,New markets in EVs and EV services impacting electricity distribution,Electricity distribution,3513,New markets in EVs and EV services,Market,Long term (10+ yrs),Market,Expansion of services to include EV charging infrastructure,,Electricity distribution,Medium,Low,Increased revenue from new market opportunities,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
c713c039-4ad7-4a17-b97a-d701f9ab52c0,Risk,Transition,Power and Utilities,Market pressure to adopt sustainable business practices impacting waste management plans,Decommissioning & recycling,3900,Market pressure to adopt sustainable business practices,Market,Medium term (3-10 yrs),Strategic,Need to integrate sustainable practices in waste management,,Decommissioning & recycling,High,Medium,Potential increase in operational costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
8ceb1d20-a959-4140-a146-703e107c6036,Risk,Transition,Power and Utilities,Increased demand for zero carbon fuels impacting electricity distribution,Electricity distribution,3513,Increased demand for zero carbon fuels,Market,Long term (10+ yrs),Market,Shift towards zero carbon energy sources,,Electricity distribution,Medium,Low,Potential increase in revenue from renewable energy distribution,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
d381e56d-8efb-4a1c-8363-96b9ddc87e17,Risk,Physical,Power and Utilities,"Extreme weather events can disrupt electricity distribution, impacting switchgear functionality.",Electricity distribution,3513,Extreme Weather,Acute,Short term (0-3 yrs),Operations,Disruption in electricity distribution can lead to operational inefficiencies and increased costs.,,Electricity distribution,High,High,Potential increase in maintenance and repair costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
5b2cc2a8-3242-4bb7-bad3-4341e48aac78,Risk,Physical,Power and Utilities,"Storms and winds can damage distribution lines, leading to service interruptions.",Electricity distribution,3513,Storms & Winds,Acute,Short term (0-3 yrs),Operations,Service interruptions can affect customer satisfaction and revenue.,,Electricity distribution,High,Medium,Increased repair and restoration costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
fe381113-de36-48e8-b7e4-740cbf4914e3,Risk,Physical,Power and Utilities,Chronic temperature changes can affect the efficiency of smart meters.,Electricity distribution,3513,Temperature,Chronic,Medium term (3-10 yrs),Operations,Reduced efficiency can lead to inaccurate billing and customer dissatisfaction.,,Electricity distribution,Medium,Medium,Potential loss of revenue due to billing inaccuracies.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
cef7ff5c-3771-432a-aa7f-6266d291035f,Risk,Transition,Power and Utilities,Policy uncertainty can affect investment in grid infrastructure.,Electricity distribution,3513,Policy uncertainty,Policy & Legal,Medium term (3-10 yrs),Strategic,Uncertainty can delay infrastructure upgrades and affect strategic planning.,,Electricity distribution,Medium,High,Potential increase in capital costs due to delayed investments.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
738e1594-49a3-4b16-8eeb-41981600888e,Risk,Physical,Power and Utilities,"Extreme heat can lead to increased demand for electricity, stressing the grid.",Electricity distribution,3513,Extreme Heat,Acute,Short term (0-3 yrs),Operations,Increased demand can lead to grid congestion and potential outages.,,Electricity distribution,High,High,Higher operational costs to manage peak demand.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
146bf404-8e88-4306-b8af-8e23f0bea85f,Risk,Transition,Power and Utilities,Behavioral adoption rates can affect the success of demand response programs.,Demand response programs,6190,Market pressure to adopt sustainable business practices,Market,Medium term (3-10 yrs),Market,Low adoption rates can limit the effectiveness of demand response programs.,,Demand response programs,Medium,Medium,Reduced potential for cost savings and efficiency gains.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
63fba2d3-a96e-44c8-8362-3b83c6dc8b91,Opportunity,Transition,Power and Utilities,Efficiency through automation and technology can optimize grid operations.,Electricity distribution,3513,Efficiency through automation and technology,Technology,Medium term (3-10 yrs),Operations,Automation can lead to more efficient grid management and reduced operational costs.,,Electricity distribution,High,Low,Potential cost savings and increased operational efficiency.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
2926f53b-7201-4e25-b3d4-896cf6b5f05e,Opportunity,Transition,Power and Utilities,New markets in EVs and EV services can drive demand for electricity distribution.,Electricity distribution,3513,New markets in EVs and EV services,Market,Long term (10+ yrs),Market,Increased demand for electricity can lead to growth opportunities in distribution services.,,Electricity distribution,Medium,Medium,Potential revenue growth from increased electricity demand.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.409Z,No
72a6054a-1b02-4e9e-b8b9-fab4b893bc37,Risk,Transition,Power and Utilities,Reputation may be damaged if business not aligned to stakeholder expectation.,Electricity distribution,3513,Reputation may be damaged if business not aligned to stakeholder expectation,Reputation,Medium term (3-10 yrs),Strategic,Misalignment with stakeholder expectations can lead to reputational damage and loss of business.,,Electricity distribution,High,Critical,Potential loss of revenue and increased costs to manage reputation.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
7d93432d-de9f-4ed9-a95d-4443ad105138,Opportunity,Transition,Power and Utilities,Real-time data accuracy is crucial for the success of demand response programs.,Demand response programs,6190,Data and reporting,Market,Short term (0-3 yrs),Operations,"Accurate data is essential for effective demand response, impacting program success.",,Demand response programs,Very High,Low,Potential cost savings and efficiency gains from accurate data.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
495b68a8-328e-44b9-a49a-f247034949c0,Risk,Physical,Power and Utilities,"Extreme weather events can disrupt telecommunications infrastructure, impacting IoT devices used in demand response programs.",Demand response programs,6190,Extreme Weather,Acute,Short term (0-3 yrs),Operations,Disruption in service delivery and customer satisfaction.,,Demand response programs,High,High,Potential increase in maintenance and repair costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
2b28af5d-e482-46ef-9859-d0b4267f0060,Risk,Transition,Power and Utilities,"Policy uncertainty may affect the regulatory environment for demand response programs, impacting dynamic pricing models.",Demand response programs,6190,Policy uncertainty,Policy & Legal,Medium term (3-10 yrs),Strategic,Potential need for strategic adjustments to comply with new regulations.,,Demand response programs,Medium,Medium,Increased compliance costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
12ec89da-7c04-4f32-89e0-5f73b76499f7,Risk,Transition,Power and Utilities,Increased demand for zero carbon fuels may drive market shifts affecting demand response programs.,Demand response programs,6190,Increased demand for zero carbon fuels,Market,Medium term (3-10 yrs),Market,Shift in market dynamics and customer preferences.,,Demand response programs,Medium,Medium,Potential revenue growth from new market opportunities.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
96b4ca59-ff9e-472e-aa8b-f4671b608030,Opportunity,Transition,Power and Utilities,Efficiency through automation and technology presents an opportunity to enhance demand response programs.,Demand response programs,6190,Efficiency through automation and technology,Technology,Short term (0-3 yrs),Operations,Improved operational efficiency and cost savings.,,Demand response programs,High,Low,Reduction in operational costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
7db059f1-73d2-4175-9061-636f0804c326,Risk,Physical,Power and Utilities,"Storms & Winds can cause disruptions in telecommunications, affecting demand response programs.",Demand response programs,6190,Storms & Winds,Acute,Short term (0-3 yrs),Operations,Potential service interruptions and customer dissatisfaction.,,Demand response programs,High,High,Increased repair and maintenance costs.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
8da0d9ff-2d60-4c76-9277-e4cbb936b9f4,Opportunity,Transition,Power and Utilities,Data and reporting present an opportunity to enhance transparency and efficiency in demand response programs.,Demand response programs,6190,Data and reporting,Market,Medium term (3-10 yrs),Strategic,Improved stakeholder trust and operational efficiency.,,Demand response programs,Medium,Low,Potential cost savings and revenue growth.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
bc0f6892-dca7-4a95-ad0c-6eb52a6ebf8d,Risk,Physical,Power and Utilities,"Extreme Heat can impact the performance of telecommunications infrastructure, affecting demand response programs.",Demand response programs,6190,Extreme Heat,Acute,Short term (0-3 yrs),Operations,Potential service disruptions and increased cooling costs.,,Demand response programs,High,Medium,Higher operational costs due to increased energy consumption.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
dbc84a83-8c4d-43bd-b432-282b10acf497,Risk,Transition,Power and Utilities,Macro-economic volatility may affect market conditions for demand response programs.,Demand response programs,6190,Macro-economic volatility,Market,Medium term (3-10 yrs),Market,Potential changes in demand and pricing strategies.,,Demand response programs,Medium,Medium,Revenue fluctuations and potential cost increases.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.410Z,No
